"","L_TIC R","L_TIC p","L_TIC sig","C_TIC R","C_TIC p","C_TIC sig","LCI R","LCI p","LCI sig","L_dec R","L_dec p","L_dec sig","C_dec R","C_dec p","C_dec sig","L_resp R","L_resp p","L_resp sig","C_resp R","C_resp p","C_resp sig","L:C_dec R","L:C_dec p","L:C_dec sig"
"P_mic","-0.493","0.03193","*","0.842","6.074e-06","***","0.136","0.5781","n.s.","-0.25","0.3022","n.s.","0.861","2.241e-06","***","-0.45","0.05294",".","0.816","2.01e-05","***","-0.32","0.1812","n.s."
"C.N_mic","0.615","0.005105","**","-0.462","0.04645","*","0.0653","0.7905","n.s.","0.487","0.03466","*","-0.51","0.02562","*","0.547","0.01542","*","-0.442","0.05818",".","0.467","0.04403","*"
"C.Pmic","0.634","0.003529","**","-0.701","0.0008362","***","-0.104","0.6715","n.s.","0.42","0.07341",".","-0.743","0.0002668","***","0.523","0.02143","*","-0.623","0.004417","**","0.481","0.03712","*"
"N.Pmic","0.19","0.4365","n.s.","-0.525","0.0209","*","-0.237","0.3296","n.s.","0.0209","0.9325","n.s.","-0.523","0.02152","*","0.121","0.6231","n.s.","-0.437","0.06141",".","0.136","0.5798","n.s."
"DOC","0.581","0.009074","**","-0.532","0.01894","*","-0.141","0.5639","n.s.","0.476","0.03917","*","-0.528","0.02019","*","0.454","0.05106",".","-0.455","0.05032",".","0.562","0.0122","*"
"TN","0.549","0.01493","*","-0.575","0.009932","**","-0.185","0.4488","n.s.","0.444","0.05663",".","-0.556","0.01349","*","0.434","0.06356",".","-0.505","0.02733","*","0.551","0.01451","*"
"DON","0.539","0.0173","*","-0.153","0.5307","n.s.","0.138","0.5739","n.s.","0.546","0.01561","*","-0.175","0.4728","n.s.","0.498","0.02997","*","-0.131","0.5919","n.s.","0.492","0.0322","*"
"pH.H2O","0.355","0.1358","n.s.","-0.273","0.258","n.s.","0.191","0.434","n.s.","0.327","0.1711","n.s.","-0.277","0.2517","n.s.","0.352","0.1394","n.s.","-0.344","0.1498","n.s.","0.239","0.3238","n.s."
"ratioF.B.1","0.39","0.09852",".","-0.363","0.1265","n.s.","-0.279","0.2468","n.s.","0.167","0.4957","n.s.","-0.459","0.04801","*"," 0.3","0.2119","n.s.","-0.207","0.3952","n.s.","0.303","0.2068","n.s."
"ratioF.B.2","0.546","0.0156","*","-0.575","0.01007","*","0.194","0.4273","n.s.","0.431","0.06523",".","-0.588","0.008122","**","0.538","0.01755","*","-0.608","0.005745","**","0.34","0.1538","n.s."
"ratioF.B.3","0.155","0.5259","n.s.","0.136","0.5799","n.s.","0.309","0.1979","n.s.","0.197","0.419","n.s.","0.0931","0.7045","n.s.","0.247","0.3084","n.s.","0.0664","0.7871","n.s.","0.0443","0.857","n.s."
"f2b_qpcr","0.413","0.07847",".","-0.653","0.002449","**","-0.0461","0.8514","n.s.","0.243","0.3159","n.s.","-0.656","0.002308","**","0.353","0.1384","n.s.","-0.604","0.006194","**","0.268","0.2674","n.s."
"CN_inbal","-0.664","0.001946","**","0.633","0.003623","**","0.0615","0.8024","n.s.","-0.481","0.03702","*","0.677","0.001449","**","-0.586","0.008384","**","0.573","0.01041","*","-0.522","0.02181","*"
"CP_inbal","-0.631","0.003749","**","0.742","0.0002758","***","-0.137","0.5765","n.s.","-0.448","0.05427",".","0.765","0.0001361","***","-0.543","0.01621","*","0.747","0.0002399","***","-0.387","0.102","n.s."
"NP_inbal","-0.324","0.1766","n.s.","0.473","0.04099","*","-0.163","0.5056","n.s.","-0.25","0.3011","n.s.","0.451","0.05264",".","-0.279","0.2469","n.s.","0.51","0.02571","*","-0.172","0.4805","n.s."
